,team,year
39,Toronto Maple Leafs,1963
5,Boston Bruins,1963
28,New York Rangers,1963
24,Montreal Canadiens,1963
16,Detroit Red Wings,1963
10,Chicago Blackhawks,1963
0,0,1965
33,Pittsburgh Penguins,1967
31,Philadelphia Flyers,1967
29,Oakland Seals,1967
22,Minnesota North Stars,1967
21,Los Angeles Kings,1967
37,St. Louis Blues,1968
40,Vancouver Canucks,1970
6,Buffalo Sabres,1970
8,California Golden Seals,1971
27,New York Islanders,1972
3,Atlanta Flames,1972
20,Kansas City Scouts,1974
42,Washington Capitals,1974
13,Colorado Rockies,1977
11,Cleveland Barons,1977
34,Quebec Nordiques,1979
43,Winnipeg Jets,1979
19,Hartford Whalers,1979
17,Edmonton Oilers,1979
7,Calgary Flames,1980
26,New Jersey Devils,1982
35,San Jose Sharks,1991
38,Tampa Bay Lightning,1992
30,Ottawa Senators,1992
1,Anaheim Ducks,1993
18,Florida Panthers,1993
15,Dallas Stars,1993
12,Colorado Avalanche,1995
32,Phoenix Coyotes,1996
9,Carolina Hurricanes,1997
25,Nashville Predators,1998
4,Atlanta Thrashers,1999
23,Minnesota Wild,2000
14,Columbus Blue Jackets,2000
2,Arizona Coyotes,2014
41,Vegas Golden Knights,2017
36,Seattle Kraken,2021
